file_x,file_y,decision,distance,prediction
dataset/img1.jpg,dataset/img2.jpg,Yes,0.1874,Yes
dataset/img1.jpg,dataset/img3.jpg,Yes,0.1283,Yes
dataset/img1.jpg,dataset/img4.jpg,Yes,0.1408,Yes
dataset/img2.jpg,dataset/img3.jpg,Yes,0.1472,Yes
dataset/img2.jpg,dataset/img4.jpg,Yes,0.0822,Yes
dataset/img3.jpg,dataset/img4.jpg,Yes,0.108,Yes
dataset/img5.jpg,dataset/img6.jpg,Yes,0.2896,Yes
dataset/img5.jpg,dataset/img7.jpg,Yes,0.1542,Yes
dataset/img5.jpg,dataset/img8.jpg,Yes,0.3074,Yes
dataset/img6.jpg,dataset/img7.jpg,Yes,0.2033,Yes
dataset/img6.jpg,dataset/img8.jpg,Yes,0.204,Yes
dataset/img7.jpg,dataset/img8.jpg,Yes,0.2638,Yes
dataset/img9.jpg,dataset/img10.jpg,Yes,0.2044,Yes
dataset/img9.jpg,dataset/img11.jpg,Yes,0.178,Yes
dataset/img9.jpg,dataset/img12.jpg,Yes,0.166,Yes
dataset/img10.jpg,dataset/img11.jpg,Yes,0.1441,Yes
dataset/img10.jpg,dataset/img12.jpg,Yes,0.2146,Yes
dataset/img11.jpg,dataset/img12.jpg,Yes,0.1352,Yes
dataset/img13.jpg,dataset/img14.jpg,Yes,0.0923,Yes
dataset/img13.jpg,dataset/img15.jpg,Yes,0.0992,Yes
dataset/img13.jpg,dataset/img16.jpg,Yes,0.2092,Yes
dataset/img14.jpg,dataset/img15.jpg,Yes,0.1197,Yes
dataset/img14.jpg,dataset/img16.jpg,Yes,0.1808,Yes
dataset/img15.jpg,dataset/img16.jpg,Yes,0.1181,Yes
dataset/img17.jpg,dataset/img18.jpg,Yes,0.077,Yes
dataset/img17.jpg,dataset/img19.jpg,Yes,0.2368,Yes
dataset/img17.jpg,dataset/img20.jpg,Yes,0.2576,Yes
dataset/img18.jpg,dataset/img19.jpg,Yes,0.2,Yes
dataset/img18.jpg,dataset/img20.jpg,Yes,0.2371,Yes
dataset/img19.jpg,dataset/img20.jpg,Yes,0.2461,Yes
dataset/img21.jpg,dataset/img22.jpg,Yes,0.141,Yes
dataset/img21.jpg,dataset/img23.jpg,Yes,0.1762,Yes
dataset/img21.jpg,dataset/img24.jpg,Yes,0.0994,Yes
dataset/img22.jpg,dataset/img23.jpg,Yes,0.1987,Yes
dataset/img22.jpg,dataset/img24.jpg,Yes,0.134,Yes
dataset/img23.jpg,dataset/img24.jpg,Yes,0.1697,Yes
dataset/img25.jpg,dataset/img26.jpg,Yes,0.1771,Yes
dataset/img25.jpg,dataset/img27.jpg,Yes,0.1977,Yes
dataset/img25.jpg,dataset/img28.jpg,Yes,0.1609,Yes
dataset/img26.jpg,dataset/img27.jpg,Yes,0.2203,Yes
dataset/img26.jpg,dataset/img28.jpg,Yes,0.1868,Yes
dataset/img27.jpg,dataset/img28.jpg,Yes,0.2356,Yes
dataset/img29.jpg,dataset/img30.jpg,Yes,0.1495,Yes
dataset/img29.jpg,dataset/img31.jpg,Yes,0.1954,Yes
dataset/img29.jpg,dataset/img32.jpg,Yes,0.2476,Yes
dataset/img30.jpg,dataset/img31.jpg,Yes,0.2139,Yes
dataset/img30.jpg,dataset/img32.jpg,Yes,0.2131,Yes
dataset/img31.jpg,dataset/img32.jpg,Yes,0.1929,Yes
dataset/img33.jpg,dataset/img34.jpg,Yes,0.2234,Yes
dataset/img33.jpg,dataset/img35.jpg,Yes,0.2759,Yes
dataset/img33.jpg,dataset/img36.jpg,Yes,0.1948,Yes
dataset/img34.jpg,dataset/img35.jpg,Yes,0.164,Yes
dataset/img34.jpg,dataset/img36.jpg,Yes,0.1645,Yes
dataset/img35.jpg,dataset/img36.jpg,Yes,0.3071,Yes
dataset/img37.jpg,dataset/img38.jpg,Yes,0.309,No
dataset/img37.jpg,dataset/img39.jpg,Yes,0.2732,Yes
dataset/img37.jpg,dataset/img40.jpg,Yes,0.3359,No
dataset/img38.jpg,dataset/img39.jpg,Yes,0.2844,Yes
dataset/img38.jpg,dataset/img40.jpg,Yes,0.2148,Yes
dataset/img39.jpg,dataset/img40.jpg,Yes,0.2685,Yes
dataset/img41.jpg,dataset/img42.jpg,Yes,0.2041,Yes
dataset/img41.jpg,dataset/img43.jpg,Yes,0.148,Yes
dataset/img41.jpg,dataset/img44.jpg,Yes,0.0988,Yes
dataset/img42.jpg,dataset/img43.jpg,Yes,0.1931,Yes
dataset/img42.jpg,dataset/img44.jpg,Yes,0.1826,Yes
dataset/img43.jpg,dataset/img44.jpg,Yes,0.1338,Yes
dataset/img45.jpg,dataset/img46.jpg,Yes,0.1641,Yes
dataset/img45.jpg,dataset/img47.jpg,Yes,0.1335,Yes
dataset/img45.jpg,dataset/img48.jpg,Yes,0.1352,Yes
dataset/img46.jpg,dataset/img47.jpg,Yes,0.1808,Yes
dataset/img46.jpg,dataset/img48.jpg,Yes,0.0576,Yes
dataset/img47.jpg,dataset/img48.jpg,Yes,0.1265,Yes
dataset/img1.jpg,dataset/img5.jpg,No,0.4019,No
dataset/img1.jpg,dataset/img6.jpg,No,0.54,No
dataset/img1.jpg,dataset/img7.jpg,No,0.4338,No
dataset/img1.jpg,dataset/img8.jpg,No,0.4812,No
dataset/img2.jpg,dataset/img5.jpg,No,0.4946,No
dataset/img2.jpg,dataset/img6.jpg,No,0.431,No
dataset/img2.jpg,dataset/img7.jpg,No,0.452,No
dataset/img2.jpg,dataset/img8.jpg,No,0.3813,No
dataset/img3.jpg,dataset/img5.jpg,No,0.4833,No
dataset/img3.jpg,dataset/img6.jpg,No,0.51,No
dataset/img3.jpg,dataset/img7.jpg,No,0.4505,No
dataset/img3.jpg,dataset/img8.jpg,No,0.4594,No
dataset/img4.jpg,dataset/img5.jpg,No,0.4846,No
dataset/img4.jpg,dataset/img6.jpg,No,0.4443,No
dataset/img4.jpg,dataset/img7.jpg,No,0.458,No
dataset/img4.jpg,dataset/img8.jpg,No,0.4048,No
dataset/img1.jpg,dataset/img9.jpg,No,0.7629,No
dataset/img1.jpg,dataset/img10.jpg,No,0.7251,No
dataset/img1.jpg,dataset/img11.jpg,No,0.8263,No
dataset/img1.jpg,dataset/img12.jpg,No,0.7937,No
dataset/img2.jpg,dataset/img9.jpg,No,0.6895,No
dataset/img2.jpg,dataset/img10.jpg,No,0.7364,No
dataset/img2.jpg,dataset/img11.jpg,No,0.7786,No
dataset/img2.jpg,dataset/img12.jpg,No,0.7368,No
dataset/img3.jpg,dataset/img9.jpg,No,0.7897,No
dataset/img3.jpg,dataset/img10.jpg,No,0.7832,No
dataset/img3.jpg,dataset/img11.jpg,No,0.8707,No
dataset/img3.jpg,dataset/img12.jpg,No,0.857,No
dataset/img4.jpg,dataset/img9.jpg,No,0.7617,No
dataset/img4.jpg,dataset/img10.jpg,No,0.7549,No
dataset/img4.jpg,dataset/img11.jpg,No,0.8305,No
dataset/img4.jpg,dataset/img12.jpg,No,0.8012,No
dataset/img1.jpg,dataset/img13.jpg,No,0.9169,No
dataset/img1.jpg,dataset/img14.jpg,No,0.9109,No
dataset/img1.jpg,dataset/img15.jpg,No,0.9107,No
dataset/img1.jpg,dataset/img16.jpg,No,0.9237,No
dataset/img2.jpg,dataset/img13.jpg,No,0.8279,No
dataset/img2.jpg,dataset/img14.jpg,No,0.7974,No
dataset/img2.jpg,dataset/img15.jpg,No,0.8241,No
dataset/img2.jpg,dataset/img16.jpg,No,0.8388,No
dataset/img3.jpg,dataset/img13.jpg,No,0.9265,No
dataset/img3.jpg,dataset/img14.jpg,No,0.9284,No
dataset/img3.jpg,dataset/img15.jpg,No,0.9164,No
dataset/img3.jpg,dataset/img16.jpg,No,0.934,No
dataset/img4.jpg,dataset/img13.jpg,No,0.9047,No
dataset/img4.jpg,dataset/img14.jpg,No,0.8922,No
dataset/img4.jpg,dataset/img15.jpg,No,0.8945,No
dataset/img4.jpg,dataset/img16.jpg,No,0.9086,No
dataset/img1.jpg,dataset/img17.jpg,No,0.7845,No
dataset/img1.jpg,dataset/img18.jpg,No,0.7793,No
dataset/img1.jpg,dataset/img19.jpg,No,0.7573,No
dataset/img1.jpg,dataset/img20.jpg,No,0.7257,No
dataset/img2.jpg,dataset/img17.jpg,No,0.7806,No
dataset/img2.jpg,dataset/img18.jpg,No,0.7634,No
dataset/img2.jpg,dataset/img19.jpg,No,0.8287,No
dataset/img2.jpg,dataset/img20.jpg,No,0.7631,No
dataset/img3.jpg,dataset/img17.jpg,No,0.7838,No
dataset/img3.jpg,dataset/img18.jpg,No,0.7642,No
dataset/img3.jpg,dataset/img19.jpg,No,0.7433,No
dataset/img3.jpg,dataset/img20.jpg,No,0.6916,No
dataset/img4.jpg,dataset/img17.jpg,No,0.8242,No
dataset/img4.jpg,dataset/img18.jpg,No,0.7876,No
dataset/img4.jpg,dataset/img19.jpg,No,0.7621,No
dataset/img4.jpg,dataset/img20.jpg,No,0.7538,No
dataset/img1.jpg,dataset/img21.jpg,No,0.6634,No
dataset/img1.jpg,dataset/img22.jpg,No,0.7036,No
dataset/img1.jpg,dataset/img23.jpg,No,0.6814,No
dataset/img1.jpg,dataset/img24.jpg,No,0.6671,No
dataset/img2.jpg,dataset/img21.jpg,No,0.7425,No
dataset/img2.jpg,dataset/img22.jpg,No,0.7875,No
